docid	Dominant_Topic	author	orig_title	Topic_Perc_Contrib	date
mdp.39015049645867	41	muriel spark	Aiding and abetting	0.1004	2000
mdp.39015043585721	79	hanoch bartov	The brigade	0.0625	1968
mdp.39015008812425	30	keith waterhouse	Jubb	0.1238	1963
mdp.39015005769644	68	michael ayrton	The maze maker	0.1061	1967
uc1.$b105297	18	norah lofts	The lute player	0.091	1951
mdp.39015062992295	52	ignazio silone	Mr. Aristotle	0.0778	1935
uc1.32106018921913	29	kazuo ishiguro	When we were orphans	0.1177	2000
uc1.$b105483	58	harold sinclair	American years, a novel	0.079	1938
mdp.39015037759795	64	joseph finder	The zero hour : a novel	0.1081	1996
uc1.$b106131	43	gypsy rose lee	Mother finds a body	0.0852	1942
mdp.39015014286903	1	sharon dilworth	The long white	0.0882	1988
mdp.39015056817003	43	richard k. morgan	Altered carbon	0.1175	2003
uc1.32106014786492	29	adalet agaoglu	Curfew	0.1015	1997
inu.32000001859455	2	compton mackenzie	Tight little island	0.051	1950
mdp.39015064872743	71	mark haddon	A spot of bother	0.0857	2006
mdp.39015029220350	43	kem nunn	Pomona Queen	0.0759	1992
mdp.39015014858875	61	jerome weidman	Before you go	0.0404	1960
mdp.39015011819946	25	lee k abbott	Strangers in paradise	0.0825	1986
uc1.b4432327	79	alfred coppel	The burning mountain : a novel of the invasion of Japan	0.1332	1983
uc1.32106019173043	29	larry brown	A miracle of catfish : a novel in progress	0.0983	2004
mdp.39015067094030	24	arturo barea	The broken root;	0.0628	1951
uc1.$b450622	48	slesar henry	The gray flannel shroud	0.0495	1959
uc1.$b63934	18	neil h swanson	The phantom emperor	0.1235	1934
mdp.39015053521863	62	mignon rittenhouse	The amazing Nellie Bly	0.0523	1956
mdp.39015030719242	47	carolyn weston	Poor, poor, Ophelia. -	0.0659	1973
mdp.39015041072367	35	richard ford	Women with men : three stories	0.0573	1997
uc1.$b257461	64	wayne warga	Hardcover	0.1148	1985
uc1.b3462026	75	timothy harris	Kronski/McSmash	0.0966	1970
uc1.b3727111	6	john stephen strange	Reasonable doubt	0.0876	1951
mdp.39015031238143	24	oakley hall	A game for eagles	0.0974	1970
uc1.b4451949	39	william murray	Malibu	0.1017	1980
mdp.39015042571227	73	sharon oard warner	Deep in the heart	0.0998	2000
mdp.39015062113934	66	heinrich boll	Billiards at half past nine	0.0748	1961
uc1.$b161075	60	margaret ed cousins	Love and marriage: 22 stories	0.1624	1961
uc1.$b86156	58	william harlow briggs	Dakota in the morning : a novel	0.0899	1942
mdp.49015002776806	6	john lescroart	The hearing	0.168	2001
mdp.39015028870767	13	john updike	Brazil	0.0576	1994
mdp.39015060041855	41	raymond kennedy	The romance of Eleanor Gray : a novel	0.1129	2003
mdp.39015008885421	79	alan moorehead	Don't blame the generals	0.1273	1943
mdp.49015000992785	68	josephine tey	The daughter of time	0.0995	1951
mdp.39015024076427	75	richard ford	Quest for the faradawn	0.1323	1982
uc1.32106019143186	21	"jose carlos somoza
lisa dillman"	Zig zag : a novel	0.1831	2007
mdp.39015028553314	78	raymond andrews	Baby Sweet's : a novel	0.1525	1983
mdp.39015030715166	13	laurens van der post	Flamingo feather : a story of Africa	0.0504	1955
uc1.b3586833	36	monika maron	Flight of ashes	0.0723	1986
mdp.39015029209668	53	samuel charters	Elvis Presley calls his mother after the Ed Sullivan show : a novel	0.0763	1992
inu.30000081815775	58	barbara lockhart	Requiem for a summer cottage : a novel	0.0781	2002
uc1.b4368486	21	norman spinrad	Songs from the stars	0.0645	1980
uc1.$b114448	60	a e ed hogeboom	Tales fro.m the high seas;	0.0576	1948
wu.89099802738	7	margaret fuller	This awakening	0.0658	1948
mdp.39015032710629	47	steve lopez	Third and Indiana : a novel	0.0826	1994
mdp.39015034199300	41	martha grimes	Rainbow's end : a Richard Jury novel	0.131	1995
mdp.39015005672228	20	robert penn warren	Flood, a romance of our time	0.0581	1964
mdp.39015050244998	6	perri o’shaughnessy	Move to strike	0.1158	2000
mdp.39015021484988	34	tracy kidder	Among schoolchildren	0.13699999999999998	1989
mdp.39015066897474	41	david dickinson	Death on the holy mountain	0.1833	2008
mdp.39015050246175	25	anita desai	Diamond dust : and other stories	0.0708	2000
uc1.b4350634	10	harry mark petrakis	Lion at my heart; a novel	0.0935	1959
mdp.39015004248640	77	par lagerkvist	The death of Ahasuerus	0.1065	1962
mdp.39015037836783	47	andrew vachss	Strega : a novel	0.113	1987
mdp.39015051348798	34	constance beresford howe	A population of one : a novel	0.0633	1977
uc1.$b401281	50	frank orourke	The abduction of Virginia Lee	0.0385	1970
mdp.39015032104039	48	j. california cooper	In search of satisfaction	0.1321	1994
